Source; Status;Opcode;Timestamp; SensorType1; SensorStatus1; SensorFlag1; Temp Data; SensorType2; SensorStatus2; SensorFlag2; Light Data; SensorType3; SensorStatus3; SensorFlag3; Moisture Data
1;Idle;1;0;Unknown;No Status;0;0;Unknown;No Status;0;Night;Unknown;No Status;0;0
2;Idle;1;0;Unknown;No Status;0;0;Unknown;No Status;0;Night;Unknown;No Status;0;0
1;Running;2;2;Temperature;Enabled;0;28;Light;Enabled;0;Night;Moisture;Enabled;0;2000
2;Idle;1;0;Unknown;No Status;0;0;Unknown;No Status;0;Night;Unknown;No Status;0;0
3;Idle;1;0;Unknown;No Status;0;0;Unknown;No Status;0;Night;Unknown;No Status;0;0
1;Running;2;8;Temperature;Enabled;0;35;Light;Enabled;0;Night;Moisture;Enabled;1;352
2;Idle;1;0;Unknown;No Status;0;0;Unknown;No Status;0;Night;Unknown;No Status;0;0
3;Idle;1;0;Unknown;No Status;0;0;Unknown;No Status;0;Night;Unknown;No Status;0;0
1;Running;2;16;Temperature;Enabled;0;32;Light;Enabled;0;Night;Moisture;Enabled;1;252
2;Idle;1;0;Unknown;No Status;0;0;Unknown;No Status;0;Night;Unknown;No Status;0;0
3;Idle;1;0;Unknown;No Status;0;0;Unknown;No Status;0;Night;Unknown;No Status;0;0
1;Running;2;22;Temperature;Enabled;0;29;Light;Enabled;0;Night;Moisture;Enabled;1;152
2;Idle;1;0;Unknown;No Status;0;0;Unknown;No Status;0;Night;Unknown;No Status;0;0
3;Idle;1;0;Unknown;No Status;0;0;Unknown;No Status;0;Night;Unknown;No Status;0;0
1;Running;2;28;Temperature;Enabled;0;27;Light;Enabled;0;Day;Moisture;Enabled;0;850
2;Idle;1;0;Unknown;No Status;0;0;Unknown;No Status;0;Night;Unknown;No Status;0;0
3;Idle;1;0;Unknown;No Status;0;0;Unknown;No Status;0;Night;Unknown;No Status;0;0
1;Running;2;34;Temperature;Enabled;0;31;Light;Enabled;0;Day;Moisture;Enabled;0;2000
2;Idle;1;0;Unknown;No Status;0;0;Unknown;No Status;0;Night;Unknown;No Status;0;0
3;Idle;1;0;Unknown;No Status;0;0;Unknown;No Status;0;Night;Unknown;No Status;0;0
1;Running;2;42;Temperature;Enabled;0;31;Light;Enabled;0;Day;Moisture;Enabled;0;1000
2;Idle;1;0;Unknown;No Status;0;0;Unknown;No Status;0;Night;Unknown;No Status;0;0
3;Idle;1;0;Unknown;No Status;0;0;Unknown;No Status;0;Night;Unknown;No Status;0;0
1;Running;2;48;Temperature;Enabled;0;27;Light;Enabled;0;Day;Moisture;Enabled;0;1900
2;Idle;1;0;Unknown;No Status;0;0;Unknown;No Status;0;Night;Unknown;No Status;0;0
3;Idle;1;0;Unknown;No Status;0;0;Unknown;No Status;0;Night;Unknown;No Status;0;0
1;Running;2;54;Temperature;Enabled;0;30;Light;Enabled;0;Night;Moisture;Enabled;1;252
2;Idle;1;0;Unknown;No Status;0;0;Unknown;No Status;0;Night;Unknown;No Status;0;0
3;Idle;1;0;Unknown;No Status;0;0;Unknown;No Status;0;Night;Unknown;No Status;0;0
3;Idle;1;0;Unknown;No Status;0;0;Unknown;No Status;0;Night;Unknown;No Status;0;0
